jersey_number,player_name,position,height,dob,team,competition,player_img
0,Junior Madut,Shooting Guard,6'5,26-03-1997,South East Melbourne Phoenix,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/303156?alternate=%2fimages%2fdefault_profile.jpg
1,Nuni Omot,Small Forward,6'9,03-10-1994,Taichung Suns,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/274807?alternate=%2fimages%2fdefault_profile.jpg
2,Carlik Jones,Guard,6'0,23-12-1997,Chicago Bulls,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/295606?alternate=%2fimages%2fdefault_profile.jpg
6,Khaman Madit Maluach,Center,7'1,14-09-2006,A.S. Douanes,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/313606?alternate=%2fimages%2fdefault_profile.jpg
8,Kuany Ngor Kuany,Small Forward,6'7,08-07-1994,Keilor Thunder,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/240957?alternate=%2fimages%2fdefault_profile.jpg
11,Marial Shayok,Point Guard,6'5,26-07-1995,Maine Celtics,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/189079?alternate=%2fimages%2fdefault_profile.jpg
12,Deng Acuoth,Center,6'9,02-10-1996,Knox Raiders,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/288382?alternate=%2fimages%2fdefault_profile.jpg
13,Majok Deng,Power Forward,6'8,01-03-1993,Tasmania JackJumpers,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/231702?alternate=%2fimages%2fdefault_profile.jpg
14,Dut Jok Kacuol,Shooting Guard,6'5,30-03-1994,Cholet Basket,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/231685?alternate=%2fimages%2fdefault_profile.jpg
21,Koch Deng Aguer Bar,Center,6'11,15-09-1996,Horsens IC,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/286405?alternate=%2fimages%2fdefault_profile.jpg
32,Wenyen Gabriel,Power Forward,6'9,26-03-1997,Free Agent,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/319595?alternate=%2fimages%2fdefault_profile.jpg
44,Sunday Dech,Guard,6'4,01-01-1994,Adelaide 36ers,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208182/9716/256358?alternate=%2fimages%2fdefault_profile.jpg
1,Nuni Omot,Forward,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/274807?alternate=%2fimages%2fdefault_profile.jpg
4,Mareng Gatkuoth,Point Guard,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/303039?alternate=%2fimages%2fdefault_profile.jpg
7,Bul Kuol,Shooting Guard,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/294144?alternate=%2fimages%2fdefault_profile.jpg
8,Kuany Ngor Kuany,Small Forward,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/240957?alternate=%2fimages%2fdefault_profile.jpg
10,Padiet Wang,Guard,6'4,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/284322?alternate=%2fimages%2fdefault_profile.jpg
12,Deng Acuoth,Center,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/288382?alternate=%2fimages%2fdefault_profile.jpg
13,Majok Deng,Power Forward,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/231702?alternate=%2fimages%2fdefault_profile.jpg
14,Dut Jok Kacuol,Shooting Guard,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/231685?alternate=%2fimages%2fdefault_profile.jpg
21,Koch Deng Aguer Bar,Center,Unknown,Unknown,Unknown,fiba-basketballworldcup 2023,https://www.fiba.basketball/api/img/player/headshot/5/208424/9716/286405?alternate=%2fimages%2fdefault_profile.jpg
