date,time,arena,city_or_country,phase,group,tournament,team,opponent,final_score,top_performer,top_performer_img,Q1,Q2,Q3,Q4,points_from_turnover,second_chance_points,fast_break_points,points_in_the_paint,points_from_the_bench,biggest_lead,biggest_scoring_run,times_leading
Tuesday 14 January 2020,16:15 (GMT+3),"Nairobi,Nyanyo National Stadium",Kenya,Group D,Group A,fiba-afrobasket-2021-pre-qualifiers,South Sudan,Somalia,112,Mathiang Mauot Muo,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/231675?alternate=%2fimages%2fdefault_profile.jpg,25,35,26,26,0,0,0,0,0,0,0,0
Tuesday 14 January 2020,16:15 (GMT+3),"Nairobi,Nyanyo National Stadium",Kenya,Group D,Group A,fiba-afrobasket-2021-pre-qualifiers,Somalia,South Sudan,79,Yusuf Mohamed Qaafow,https://www.fiba.basketball/api/img/player/headshot/5/208167/137/201738?alternate=%2fimages%2fdefault_profile.jpg,17,22,22,18,0,0,0,0,0,0,0,0
Wednesday 15 January 2020,14:00 (GMT+3),"Nairobi,Nyanyo National Stadium",Kenya,Group D,Group A,fiba-afrobasket-2021-pre-qualifiers,Eritrea,South Sudan,57,Zekarias Aron,https://www.fiba.basketball/api/img/player/headshot/5/208167/2070/281233?alternate=%2fimages%2fdefault_profile.jpg,13,10,20,14,10,8,11,40,11,0,7-0,00:00
Wednesday 15 January 2020,14:00 (GMT+3),"Nairobi,Nyanyo National Stadium",Kenya,Group D,Group A,fiba-afrobasket-2021-pre-qualifiers,South Sudan,Eritrea,111,Bol Bak,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/281526?alternate=%2fimages%2fdefault_profile.jpg,28,35,21,27,18,13,16,66,66,56,17-0,39:30:00
Thursday 16 January 2020,16:15 (GMT+3),"Nairobi,Nyanyo National Stadium",Kenya,Group D,Group A,fiba-afrobasket-2021-pre-qualifiers,Burundi,South Sudan,59,Jean Hakizimana,https://www.fiba.basketball/api/img/player/headshot/5/208167/973/184880?alternate=%2fimages%2fdefault_profile.jpg,15,14,17,13,0,0,0,0,0,0,0,00:00
Thursday 16 January 2020,16:15 (GMT+3),"Nairobi,Nyanyo National Stadium",Kenya,Group D,Group A,fiba-afrobasket-2021-pre-qualifiers,South Sudan,Burundi,100,Teny Bak Puot,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/231679?alternate=%2fimages%2fdefault_profile.jpg,21,26,22,31,0,0,0,0,0,0,0,00:00
Friday 17 January 2020,14:00 (GMT+3),"Nairobi,Nyanyo National Stadium",Kenya,Group D,Group A,fiba-afrobasket-2021-pre-qualifiers,Tanzania,South Sudan,60,Haji Rashid Mbegu,https://www.fiba.basketball/api/img/player/headshot/5/208167/147/259397?alternate=%2fimages%2fdefault_profile.jpg,8,10,16,26,0,0,0,0,0,0,0,00:00
Friday 17 January 2020,14:00 (GMT+3),"Nairobi,Nyanyo National Stadium",Kenya,Group D,Group A,fiba-afrobasket-2021-pre-qualifiers,South Sudan,Tanzania,115,Bol Bak,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/281526?alternate=%2fimages%2fdefault_profile.jpg,27,27,34,27,0,0,0,0,0,0,0,00:00
Saturday 18 January 2020,18:30 (GMT+3),"Nairobi,Nyanyo National Stadium",Kenya,Group D,Group A,fiba-afrobasket-2021-pre-qualifiers,South Sudan,Kenya,68,Emmanuel Malou,https://www.fiba.basketball/api/img/player/headshot/5/208167/9716/249150?alternate=%2fimages%2fdefault_profile.jpg,19,11,11,27,8,20,5,20,14,2,9-0,05:56
Saturday 18 January 2020,18:30 (GMT+3),"Nairobi,Nyanyo National Stadium",Kenya,Group D,Group A,fiba-afrobasket-2021-pre-qualifiers,Kenya,South Sudan,74,Griffin Ligare,https://www.fiba.basketball/api/img/player/headshot/5/208167/88/172382?alternate=%2fimages%2fdefault_profile.jpg,25,4,23,22,19,9,8,22,22,13,13-0,32:46:00
