date,jersey_number,players,minutes,points,field_goals_made,field_goals_attempts,field_goals_pct,two_points_made,two_points_attempts,two_points_pct,three_points_made,three_points_attempts,three_points_pct,free_throws_made,free_throws_attempts,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,efficiency,opponent,win,competition,group,phase,home
14-Jan-20,1,Teny Bak Puot,28,15,4,8,50,1,1,100,3,7,42.9,4,4,100,1,2,3,1,1,0,2,0,27,11,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Jan-20,3,Bol Bak,21,8,4,8,50,4,6,66.7,0,2,0,0,0,0,1,5,6,3,0,0,1,0,17,12,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Jan-20,4,Mangistu Jongkor,19,4,2,5,40,2,4,50,0,1,0,0,0,0,0,0,0,1,1,0,0,4,18,18,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Jan-20,5,Dominik Philip,9,0,0,3,0,0,2,0,0,1,0,0,0,0,1,2,3,0,1,0,1,0,4,0,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Jan-20,7,Nyang Wek,21,11,4,7,57.1,4,7,57.1,0,0,0,3,6,50,4,2,6,1,1,0,0,3,18,13,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Jan-20,8,Kuany Ngor Kuany,26,21,5,10,50,3,6,50,2,4,50,9,9,100,0,5,5,1,0,1,1,1,20,22,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Jan-20,9,Mathiang Mauot Muo,19,18,6,7,85.7,2,3,66.7,4,4,100,2,2,100,0,6,6,1,1,0,0,2,13,25,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Jan-20,10,Makuei Puondak,17,14,5,8,62.5,5,8,62.5,0,0,0,4,7,57.1,2,1,3,1,0,0,5,3,6,7,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Jan-20,11,Emmanuel Malou,28,15,6,8,75,4,6,66.7,2,2,100,1,2,50,2,6,8,0,0,4,1,3,27,23,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Jan-20,14,Deng Mayot Mabior,16,6,2,3,66.7,2,3,66.7,0,0,0,2,2,100,4,8,12,0,0,1,2,2,15,16,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Mar-17,1,Akech Bul Aguer,6,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
14-Mar-17,2,Duol Michael Mayot,4,2,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
14-Mar-17,3,Teny Bak Puot,13,3,1,1,100,1,1,100,0,0,0,1,3,33.3,0,0,0,2,1,0,2,0,-9,2,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
14-Mar-17,4,Chier Mathiang Ater Chier,23,17,7,12,58.3,5,9,55.6,2,3,66.7,1,2,50,3,4,7,3,1,0,5,3,10,17,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
14-Mar-17,5,Mathiang Mauot Muo,34,17,3,4,75,0,1,0,3,3,100,8,10,80,3,6,9,5,0,0,6,4,12,22,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
14-Mar-17,10,Atem Kuol Atem Bol,30,6,3,8,37.5,3,5,60,0,3,0,0,0,0,3,6,9,0,1,0,5,2,-4,6,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
14-Mar-17,12,Ajak Ateng Magot Anok,34,8,4,9,44.4,4,9,44.4,0,0,0,0,0,0,2,4,6,0,0,0,1,1,-5,8,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
14-Mar-17,20,Wanjang Hoth Tut,30,10,3,8,37.5,3,7,42.9,0,1,0,4,4,100,2,5,7,1,0,1,3,0,4,11,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
14-Mar-17,40,Riak Bol Bol,30,5,2,6,33.3,2,6,33.3,0,0,0,1,2,50,3,2,5,1,1,2,4,3,5,5,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
15-Jan-20,1,Teny Bak Puot,14,3,1,4,25,1,2,50,0,2,0,1,2,50,0,1,1,1,1,0,2,0,18,0,Eritrea,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,FALSE
15-Jan-20,3,Bol Bak,27,20,6,13,46.2,6,11,54.5,0,2,0,8,10,80,2,4,6,10,3,0,1,0,36,29,Eritrea,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,FALSE
15-Jan-20,4,Mangistu Jongkor,19,7,3,6,50,2,4,50,1,2,50,0,0,0,1,2,3,1,1,0,3,0,32,6,Eritrea,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,FALSE
15-Jan-20,5,Dominik Philip,27,12,2,5,40,0,1,0,2,4,50,6,10,60,0,3,3,3,1,0,1,0,37,11,Eritrea,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,FALSE
