date,minutes,points,field_goals_made,field_goals_attempts,field_goals_pct,two_points_made,two_points_attempts,two_points_pct,three_points_made,three_points_attempts,three_points_pct,free_throws_made,free_throws_attempts,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,efficiency,opponent,win,competition,group,phase,home
14-Jan-20,200,112,38,67,56.7,27,46,58.7,11,21,52.4,25,32,78.1,15,37,52,9,5,6,13,18,33,147,Somalia,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
14-Mar-17,200,68,24,51,47.1,19,40,47.5,5,11,45.5,15,21,71.4,16,28,44,12,4,3,28,14,2,71,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
15-Jan-20,200,111,41,71,57.7,34,54,63,7,17,41.2,22,32,68.8,13,38,51,24,14,2,13,3,54,143,Eritrea,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,FALSE
15-Mar-17,200,80,29,76,38.2,19,52,36.5,10,24,41.7,12,14,85.7,17,24,41,12,6,2,13,24,-10,71,Rwanda,FALSE,Fiba Afrobasketqualifiers 2017 ,Group A,Zone 5 - Qualifiers,TRUE
16-Jan-20,200,100,33,74,44.6,20,39,51.3,13,35,37.1,21,25,84,16,35,51,14,7,2,14,12,41,113,Burundi,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,FALSE
17-Feb-21,200,70,26,69,37.7,19,39,48.7,7,30,23.3,11,16,68.8,18,26,44,14,6,3,17,17,-5,68,Nigeria,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
17-Jan-20,200,115,45,84,53.6,30,51,58.8,15,33,45.5,10,12,83.3,13,37,50,25,14,1,7,12,55,152,Tanzania,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,FALSE
17-Mar-17,225,89,33,83,39.8,26,54,48.1,7,29,24.1,16,18,88.9,21,43,64,23,5,5,20,26,5,110,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,,Zone 5 - Classification,FALSE
18-Feb-21,200,69,22,62,35.5,13,36,36.1,9,26,34.6,16,21,76.2,10,32,42,9,6,4,13,18,4,67,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Jan-20,200,68,21,63,33.3,13,35,37.1,8,28,28.6,18,35,51.4,19,34,53,9,1,2,16,19,-6,45,Kenya,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
19-Feb-21,225,58,20,57,35.1,14,33,42.4,6,24,25,12,16,75,8,40,48,9,10,2,31,11,-4,50,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
01-Jul-22,200,73,26,69,37.7,12,31,38.7,14,38,36.8,7,11,63.6,11,35,46,19,5,1,14,23,10,83,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
23-Oct-20,200,85,28,75,37.3,16,37,43.2,12,38,31.6,17,23,73.9,20,30,50,21,2,4,17,28,-6,85,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
24-Feb-23,200,83,27,61,44.3,18,40,45,9,21,42.9,20,27,74.1,11,37,48,22,6,0,14,16,8,101,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Oct-20,200,100,31,61,50.8,21,28,75,10,33,30.3,28,40,70,13,40,53,27,7,6,20,20,31,125,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
25-Feb-22,200,68,25,58,43.1,16,35,45.7,9,23,39.1,9,15,60,10,31,41,11,5,2,15,12,12,67,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
25-Feb-23,200,82,28,58,48.3,18,23,78.3,10,35,28.6,16,18,88.9,12,24,36,22,14,5,20,13,21,106,Congo DR,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,FALSE
26-Aug-22,200,66,24,59,40.7,17,34,50,7,25,28,11,22,50,8,37,45,18,3,3,14,16,-3,74,Senegal,FALSE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,FALSE
26-Aug-23,225,96,34,67,50.7,24,41,58.5,10,26,38.5,18,24,75,10,28,38,23,10,4,21,23,-5,111,Puerto Rico,FALSE,Fiba Basketballworldcup 2023 ,Group B,First Round,TRUE
26-Feb-22,200,72,27,56,48.2,18,35,51.4,9,21,42.9,9,15,60,9,27,36,11,8,3,15,16,8,75,Tunisia,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
